rooms,bathrooms,exterior,hasLift,size,floor,longitude,latitude,price,hasParkingSpace,isParkingSpaceIncludedInPrice,priceperarea,type_chalet,type_chalet_independantHouse,type_chalet_semidetachedHouse,type_chalet_terracedHouse,type_flat,type_flat_duplex,type_flat_penthouse,type_flat_studio,good,newdevelopment,renew
5.0,2.0,1.0,1.0,125.0,2.0,2.1400635,41.3668592,1499.0,0.0,0.0,695.2,0,0,0,0,1,0,0,0,1,0,0
4.0,1.0,1.0,1.0,100.0,0.0,2.1212059,41.3958712,1100.0,0.0,0.0,1109.7,0,0,0,0,1,0,0,0,0,0,0
1.0,1.0,1.0,1.0,66.0,7.0,2.1724493,41.4000553,795.0,0.0,0.0,713.1,0,0,0,0,1,0,0,0,1,0,0
4.0,1.0,1.0,0.0,105.0,1.0,2.1787846,41.4160563,1200.0,0.0,0.0,612.9,0,0,0,0,1,0,0,0,1,0,0
4.0,2.0,1.0,1.0,90.0,1.0,2.1567991,41.3917895,1600.0,1.0,1.0,911.1,0,0,0,0,1,0,0,0,1,0,0
3.0,1.0,1.0,0.0,80.0,4.0,2.1623248,41.4121318,2390.0,0.0,0.0,705.2,0,0,0,0,1,0,0,0,1,0,0
4.0,2.0,1.0,1.0,130.0,4.0,2.1345069,41.4055712,1800.0,0.0,0.0,1046.4,0,0,0,0,1,0,0,0,1,0,0
0.0,1.0,1.0,0.0,40.0,1.0,2.1782453,41.387433,1000.0,0.0,0.0,723.4,0,0,0,0,0,1,0,0,1,0,0
1.0,1.0,1.0,0.0,50.0,1.0,2.1825519,41.3856992,1300.0,0.0,0.0,723.4,0,0,0,0,1,0,0,0,1,0,0
2.0,1.0,1.0,0.0,55.0,4.0,2.1681642,41.3764047,1000.0,0.0,0.0,612.1,0,0,0,0,1,0,0,0,1,0,0
1.0,1.0,1.0,1.0,40.0,5.0,2.2053539,41.4041682,650.0,0.0,0.0,1059.8,0,0,0,0,1,0,0,0,1,0,0
0.0,1.0,0.0,0.0,30.0,1.0,2.1804453,41.386133,800.0,0.0,0.0,723.4,0,0,0,0,0,0,0,1,1,0,0
2.0,1.0,1.0,1.0,80.0,3.0,2.1663821,41.3919084,1550.0,0.0,0.0,1012.5,0,0,0,0,1,0,0,0,1,0,0
2.0,2.0,1.0,1.0,70.0,1.0,2.1731982,41.410668,1398.0,0.0,0.0,642.6,0,0,0,0,1,0,0,0,1,0,0
2.0,1.0,1.0,1.0,65.0,3.0,2.2101388,41.4074048,1200.0,0.0,0.0,1059.8,0,0,0,0,1,0,0,0,1,0,0
2.0,1.0,1.0,0.0,105.0,0.0,2.136246,41.373358,1100.0,0.0,0.0,653.3,0,0,0,0,1,0,0,0,1,0,0
3.0,2.0,1.0,1.0,75.0,0.0,2.1575341,41.3804462,1300.0,0.0,0.0,765.6,0,0,0,0,1,0,0,0,1,0,0
3.0,2.0,1.0,0.0,95.0,2.0,2.1772391,41.3827479,1400.0,0.0,0.0,786.0,0,0,0,0,1,0,0,0,1,0,0
1.0,1.0,1.0,1.0,65.0,3.0,2.1400965,41.4075681,1100.0,0.0,0.0,799.7,0,0,0,0,1,0,0,0,1,0,0
3.0,2.0,1.0,1.0,70.0,4.0,2.1386313,41.3863115,1000.0,0.0,0.0,856.3,0,0,0,0,1,0,0,0,1,0,0
1.0,1.0,1.0,0.0,60.0,1.0,2.1723963,41.38372,850.0,0.0,0.0,786.0,0,0,0,0,1,0,0,0,1,0,0
4.0,2.0,1.0,0.0,90.0,1.0,2.1754038,41.3843121,1225.0,0.0,0.0,786.0,0,0,0,0,1,0,0,0,1,0,0
1.0,1.0,1.0,0.0,40.0,2.0,2.1355466,41.3779183,850.0,0.0,0.0,653.3,0,0,0,0,1,0,0,0,1,0,0
3.0,2.0,1.0,0.0,145.0,2.0,2.1539501,41.4095034,1800.0,0.0,0.0,705.2,0,0,0,0,0,1,0,0,1,0,0
2.0,2.0,1.0,1.0,90.0,1.0,2.1625514,41.3854463,1350.0,0.0,0.0,911.1,0,0,0,0,1,0,0,0,1,0,0
1.0,1.0,0.0,0.0,72.0,2.0,2.1822327,41.3855731,1275.0,0.0,0.0,723.4,0,0,0,0,1,0,0,0,1,0,0
1.0,1.0,1.0,0.0,51.0,1.0,2.1822246,41.3873462,850.0,0.0,0.0,723.4,0,0,0,0,1,0,0,0,1,0,0
2.0,1.0,1.0,1.0,70.0,3.0,2.1622584,41.4070242,850.0,0.0,0.0,725.4,0,0,0,0,1,0,0,0,1,0,0
3.0,1.0,1.0,0.0,75.0,1.0,2.1591737,41.4291185,650.0,0.0,0.0,579.9,0,0,0,0,1,0,0,0,1,0,0
1.0,1.0,1.0,1.0,25.0,0.0,2.2126598,41.4189156,725.0,0.0,0.0,506.7,0,0,0,0,1,0,0,0,1,0,0
3.0,1.0,1.0,1.0,74.0,2.0,2.187181,41.4422174,800.0,0.0,0.0,613.3,0,0,0,0,1,0,0,0,1,0,0
2.0,1.0,1.0,1.0,65.0,4.0,2.1646278,41.3798597,1500.0,0.0,0.0,625.8,0,0,0,0,0,0,1,0,1,0,0
2.0,2.0,1.0,1.0,72.0,1.0,2.1764661,41.4246972,900.0,0.0,0.0,612.9,0,0,0,0,1,0,0,0,1,0,0
4.0,3.0,1.0,1.0,230.0,4.0,2.1855392,41.4221444,3500.0,1.0,0.0,636.6,0,0,0,0,1,0,0,0,1,0,0
3.0,2.0,1.0,0.0,90.0,1.0,2.1767863,41.3810271,1400.0,0.0,0.0,786.0,0,0,0,0,1,0,0,0,1,0,0
